"","ProfileName","ManipulatorPosition.AxisPosition","ManipulatorPosition.AxisPosition.1","ManipulatorPosition.AxisPosition.2","ManipulatorPosition.AxisPosition.3","ManipulatorPosition.AxisPosition.4","CTAxisOffset","XraySettings.Settings.kV","XraySettings.Settings.uA","XrayFilterMaterial","XrayFilterThickness","XrayHead","XrayHeadNumber","ShadingCorrections.CorrectionName","FluxNormalisation","FluxNormalisationRect.Location.X","FluxNormalisationRect.Location.Y","FluxNormalisationRect.Size.Width","FluxNormalisationRect.Size.Height","FluxNormalisationRect.X","FluxNormalisationRect.Y","FluxNormalisationRect.Width","FluxNormalisationRect.Height","IntensifierField","IrisDemand","ImagingSettings.transform","ImagingSettings.imageOffsetX","ImagingSettings.imageOffsetY","ImagingSettings.imageSizeX","ImagingSettings.imageSizeY","ImagingSettings.defaultImagingMode","ImagingSettings..attrs.exposure","ImagingSettings..attrs.gain","ImagingSettings..attrs.brightness","ImagingSettings..attrs.digitalGain","ImagingSettings..attrs.binning","ImagingSettings..attrs.WhiteToBlackLatency","ImagingSettings..attrs.BlackToWhiteLatency","ImagingSettings..attrs.WhiteToWhiteLatency","ImagingSettings..attrs.lines","ImagingSettings..attrs.accumulation","ScanFlatPanel","PanelScanImages","DetectorPixelSizeMM","MinimiseRingArtefacts","Reconstruct","ReconstructionPCName","DualEnergy","ReferenceImageFrames","OptimiseProjections","Projections","FramesPerProjection","VolumeOfInterest.XStart","VolumeOfInterest.XEnd","VolumeOfInterest.YStart","VolumeOfInterest.YEnd","VolumeOfInterest.ZStart","VolumeOfInterest.ZEnd","ReconstructionQuality","BeamHardeningPreset","NoiseReductionPreset","LinearInterpolation","MedianFilterSize","CalculateCentreOfRotation","ApplyRodCorrection","Delay.Hours","Delay.Minutes","Delay.Seconds","filenm"
"1","BAEn2000_CaseStudy2_2003","0","455.55","-84.77","0","0","0","215","56","None","0","Reflection 225","0","Generic","true","14","15","104","123","14","15","104","123","0","100","1","0","20","2000","2000","Histogram","2000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3142","1","198","1692","333","1877","0","1997","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0033_PS_HC [2014-03-29 03.36.52]/BAE0033_PS_HC.ctprofile.xml"
"2","WMG_battery1_B","0","490.91","-139.26","0","0","0","220","59","Copper","0.5","Reflection 225","0","Generic","true","22","26","106","108","22","26","106","108","0","100","1","0","20","2000","2000","Histogram","4000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","186","1843","267","1635","0","1997","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0034_PS_o2_1 [2014-06-15 14.52.46]/BAE0034_PS_o2_1.ctprofile.xml"
"3","WMG_battery1_B","0","490.91","-139.26","0","0","0","220","59","Copper","0.5","Reflection 225","0","Generic","true","22","26","106","108","22","26","106","108","0","100","1","0","20","2000","2000","Histogram","4000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","186","1843","267","1635","0","1997","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0034_PS_o2_1 [2014-06-15 19.50.26]/BAE0034_PS_o2_1.ctprofile.xml"
"4","WMG_battery1_B","0","492.35","-139.26","0","0","0","220","55","Copper","0.5","Reflection 225","0","Generic","true","22","26","106","108","22","26","106","108","0","100","1","0","20","2000","2000","Histogram","4000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","186","1844","305","1682","0","1997","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0034_PS_o2_2 [2014-06-16 11.26.02]/BAE0034_PS_o2_2.ctprofile.xml"
"5","BAE3000_CaseStudy2_53","0","469.04","-29.53","0","0","0","202","124","Tin","0.5","Reflection 225","0","Generic","false","11","22","29","151","11","22","29","151","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","0","1993","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0035_PS_1 [2014-10-14 10.48.47]/BAE0035_PS_1.ctprofile.xml"
"6","BAE3000_CaseStudy2_53","0","475.4496","-79.33","0","0","0","202","124","Tin","0.5","Reflection 225","0","Generic","true","11","22","29","151","11","22","29","151","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","524","1481","0","1993","138","1880","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0035_PS_D1 [2014-10-14 18.33.26]/BAE0035_PS_D1.ctprofile.xml"
"7","BAE3000_CaseStudy2_53","0","473.07","-77.57","0","0","0","202","124","Tin","0.5","Reflection 225","0","Generic","true","11","22","29","151","11","22","29","151","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","524","1482","0","1993","104","1974","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0035_PS_D2 [2014-10-15 09.18.05]/BAE0035_PS_D2.ctprofile.xml"
"8","BAE3000_CaseStudy2_53","0","478.3017","-77.57","0","0","0","202","124","Tin","0.5","Reflection 225","0","Generic","true","11","22","29","151","11","22","29","151","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","524","1522","279","1993","104","1975","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0035_PS_D3 [2014-10-15 17.23.10]/BAE0035_PS_D3.ctprofile.xml"
"9","WMG_wires_testsample2","0","485.64","-85.31","0","0","0","190","15","None","0","Reflection 225","0","Generic","true","11","25","59","148","11","25","59","148","0","100","1","2","20","1996","1996","Histogram","2000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1995","0","1995","0","1995","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0036_RC [2014-11-08 12.54.00]/BAE0036_RC.ctprofile.xml"
"10","WMG_wires_testsample2","0","486.18","-167.89","0","0","0","210","13","None","0.5","Reflection 225","0","Generic","false","1879","28","59","148","1879","28","59","148","0","100","1","2","20","1996","1996","Histogram","1000","3","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1993","0","1993","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0036_RC2 [2014-11-14 14.24.48]/BAE0036_RC2.ctprofile.xml"
"11","WMG_Spooner_newcol_4B","0","504.48","-134.95","-25","0","0","210","45","None","0","Reflection 225","0","Generic","true","26","24","208","194","26","24","208","194","0","100","1","2","20","1996","1996","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","458","1616","0","1739","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0037_PS_SafetyPin1 [2015-01-13 15.04.10]/BAE0037_PS_SafetyPin1.ctprofile.xml"
"12","WMG_Spooner_newcol_4B","0","504.4482","-134.9218","-25","0","0","200","30","Tin","0.75","Reflection 225","0","Generic","true","26","24","208","194","26","24","208","194","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","458","1616","0","1739","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0037_PS_SafetyPin2 [2015-01-15 09.45.09]/BAE0037_PS_SafetyPin2.ctprofile.xml"
"13","BAE0039_PS_CablesJN1003","0","275.12","-173.86","0","0","0","195","23","Tin","0.25","Reflection 225","0","Generic","true","2","68","260","164","2","68","260","164","0","100","1","2","20","1996","1996","Histogram","2829","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","314","1726","468","1817","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0039_PS_CablesJN1003 [2015-03-09 05.47.32]/BAE0039_PS_CablesJN1003.ctprofile.xml"
"14","BAE0039_PS_CablesZJ807","0","313.62","-173.86","0","0","0","195","23","Tin","0.25","Reflection 225","0","Generic","true","2","68","260","164","2","68","260","164","0","100","1","2","20","1996","1996","Histogram","2829","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1482","323","1720","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0039_PS_CablesZJ807 [2015-03-09 00.47.58]/BAE0039_PS_CablesZJ807.ctprofile.xml"
"15","BAE0039_PS_CablesJN1003","0","535.93","-164.94","0","0","0","195","31","Tin","0.25","Reflection 225","0","Generic","true","2","68","260","164","2","68","260","164","0","100","1","2","20","1996","1996","Histogram","2000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","314","1726","468","1817","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0039_PS_ConnectorCablesJN1004 [2015-03-09 13.34.53]/BAE0039_PS_ConnectorCablesJN1004.ctprofile.xml"
"16","WMG_Nasrin_newtrialB","0","542.3","-153.96","0","0","0","195","28","Tin","0.25","Reflection 225","0","Generic","true","2","68","260","164","2","68","260","164","0","100","1","0","20","2000","2000","Histogram","2000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2525","1","449","1481","411","1553","122","1855","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0039_PS_ConnectorJN1003 [2015-03-06 11.04.11]/BAE0039_PS_ConnectorJN1003.ctprofile.xml"
"17","WMG_Nasrin_newtrialB","0","536.86","-150.59","0.0647","0","0","195","28","Tin","0.25","Reflection 225","0","Generic","true","2","68","260","164","2","68","260","164","0","100","1","0","20","2000","2000","Histogram","2000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2525","1","449","1481","411","1553","122","1855","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0039_PS_ConnectorZJ507 [2015-03-05 14.04.25]/BAE0039_PS_ConnectorZJ507.ctprofile.xml"
"18","WMG_Nasrin_newtrialB","0","534.59","-144.82","360","0","0","195","28","Tin","0.25","Reflection 225","0","Generic","true","2","68","260","164","2","68","260","164","0","100","1","2","20","1996","1996","Histogram","2000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2708","1","446","1498","336","1636","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0039_PS_ConnectorZJ916 [2015-03-04 14.17.06]/BAE0039_PS_ConnectorZJ916.ctprofile.xml"
"19","BAE0039_PS_CablesJN1003","0","442.27","-199.97","0","0","0","165","18","Tin","0.125","Reflection 225","0","Generic","true","2","68","260","164","2","68","260","164","0","100","1","0","20","2000","2000","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2264","1","508","1538","521","1425","44","1946","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0040_PS [2015-04-08 12.40.24]/BAE0040_PS.ctprofile.xml"
"20","WMG_Warnett_Sphere724","0","503.63","-168.91","0","0","0","190","37","Tin","0.5","Reflection 225","0","Generic","true","2","68","260","164","2","68","260","164","0","100","1","2","20","1996","1996","Histogram","2829","4","0","0","1","20000","10000","1000","0","0","false","2","0.4","true","false","RECONPC","false","0","true","1568","1","143","806","140","767","24","996","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0041_Goodrich_0443 [2015-05-01 11.40.41]/BAE0041_Goodrich_0443.ctprofile.xml"
"21","BAEn5000_UD40","0","504.92","-172.51","0","0","0","190","16","Tin","0.5","Reflection 225","0","Generic","true","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","2829","5","0","0","1","20000","10000","1000","0","0","false","2","0.4","true","false","RECONPC","false","0","true","1049","1","264","690","262","689","0","996","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0041_Goodrich_414 [2015-05-11 22.42.22]/BAE0041_Goodrich_414.ctprofile.xml"
"22","BAEn6000_VTC059_W3","0","376.37","220.67","0","0","0","200","60","Tin","1","Reflection 225","0","Generic","true","109","178","238","249","109","178","238","249","0","100","1","0","20","2000","2000","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","38","1971","571","1375","182","1918","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0042_NACA_1060No2 [2015-09-08 17.47.42]/BAE0042_NACA_1060No2.ctprofile.xml"
"23","BAEn6000_VTC059_W3","0","374.52","227.15","0","0","0","200","50","Tin","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","0","20","2000","2000","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","100","1958","496","1475","85","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0042_NACA_1660No2 [2015-09-11 12.26.28]/BAE0042_NACA_1660No2.ctprofile.xml"
"24","BAE0042_NACA1660a","0","440.12","-106.45","0","0","0","185","19","Tin","1","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","0","20","2000","2000","Histogram","2829","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2801","1","339","1761","712","1459","0","1745","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0042_NACA1660a [2015-09-23 13.55.03]/BAE0042_NACA1660a.ctprofile.xml"
"25","BAE0042_NACA1660b","0","355.4","-41.93","0","0","0","185","35","Tin","1","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","0","20","2000","2000","Histogram","2829","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","179","1943","650","1460","0","1746","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0042_NACA1660b [2015-09-23 18.21.36]/BAE0042_NACA1660b.ctprofile.xml"
"26","Spooner_cru_FeP02pt36ptFeO_95s","0","274.4042","251.03","0","0","0","275","98","Tin","1.25","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","116","1880","474","1466","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0042_NACA3 [2015-07-09 15.52.22]/BAE0042_NACA3.ctprofile.xml"
"27","Connekt_penetrator2_pcbB","0","503.4","-169.81","0","0","0","225","40","Tin","2","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2846","1","292","1739","477","1466","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_CapaciorC301 [2015-07-30 18.01.12]/BAE0043_CapaciorC301.ctprofile.xml"
"28","Connekt_penetrator2_pcbB","0","496.57","-116.82","0","0","0","302","98","Tin","2","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","2829","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2365","1","615","1335","430","1646","66","1916","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_CapaciorsC11_C12 [2015-07-29 14.35.06]/BAE0043_CapaciorsC11_C12.ctprofile.xml"
"29","Connekt_penetrator2_pcbB","0","496.57","-164.89","0","0","0","302","98","Tin","2","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","2829","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2290","1","797","1334","430","1645","436","1915","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_Capacitors07_05 [2015-07-28 15.25.51]/BAE0043_Capacitors07_05.ctprofile.xml"
"30","BAEn6000_VTC059_W3","0","495.9","-183.64","0","0","0","210","43","Tin","0.125","Reflection 225","0","Generic","true","2","53","238","249","2","53","238","249","0","100","1","2","20","1996","1996","Histogram","2829","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","160","1726","126","1926","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_CapNew [2015-09-07 12.29.01]/BAE0043_CapNew.ctprofile.xml"
"31","Connekt_penetrator2_pcbB","0","504.44","-164.89","0","0","0","302","98","Tin","2","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","2829","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","182","1700","210","1682","364","1914","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_PottedShunt [2015-07-27 16.32.13]/BAE0043_PottedShunt.ctprofile.xml"
"32","Astheimer_S6active_B","0","489.8","-180.33","0","0","0","225","42","None","0","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","2829","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3135","1","119","1754","104","1685","314","1817","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_PottedShuntNew [2015-08-07 10.45.24]/BAE0043_PottedShuntNew.ctprofile.xml"
"33","Astheimer_S6active_B","0","489.45","-180.68","0","0","0","220","43","Tin","0.675","Reflection 225","0","Generic","false","2","53","72","179","2","53","72","179","0","100","1","2","20","1996","1996","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","0","1848","0","1742","289","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_PottedShuntNew2 [2015-08-11 18.47.14]/BAE0043_PottedShuntNew2.ctprofile.xml"
"34","Connekt_penetrator2_pcbB","0","413.83","-9.9542","0","0","0","301","99","Tin","6","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","301","1698","264","1802","119","1930","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_Shunt03 [2015-07-26 19.06.04]/BAE0043_Shunt03.ctprofile.xml"
"35","Connekt_penetrator2_pcbB","0","413.83","-9.98","90","0","0","300","117","Tin","6","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","348","1930","119","1732","0","1993","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_Shunt11 [2015-07-22 16.40.41]/BAE0043_Shunt11.ctprofile.xml"
"36","Connekt_penetrator2_pcbB","0","413.83","-9.98","0","0","0","300","117","Tin","6","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","348","1839","264","1801","235","1757","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_Shunt15 [2015-07-23 18.30.44]/BAE0043_Shunt15.ctprofile.xml"
"37","Connekt_penetrator2_pcbB","0","413.83","-9.9542","0","0","0","306","98","Tin","6","Reflection 320","4","Generic","false","2","53","72","179","2","53","72","179","0","100","1","0","20","2000","2000","Histogram","4000","5","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","3135","1","348","1839","264","1801","235","1757","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE0043_Shunt15_2 [2015-07-24 14.51.01]/BAE0043_Shunt15_2.ctprofile.xml"
"38","BAEn_CaseStudy1_prj1_1","0","481.98","-203.7503","-10","0","0","220","13","None","0","Reflection 225","0","BAESn_CaseStudy1_Prj1","true","17","209","76","82","17","209","76","82","0","100","1","24","24","2000","2000","Histogram","4000","2","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1997","730","1607","0","1997","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE1013 BAEn_CaseStudy1_prj1_1 [2013-08-15 19.36.21]/BAEn_CaseStudy1_prj1_1.ctprofile.xml"
"39","BAEn_CaseStudy1_prj1_2","0","460.19","-203.9754","-10","0","0","220","13","None","0","Reflection 225","0","BAESn_CaseStudy1_Prj1","true","17","209","76","82","17","209","76","82","0","100","1","24","24","2000","2000","Histogram","4000","2","0","0","0","20000","10000","1000","0","0","false","2","0.2","false","false","RECONPC","false","0","true","3142","1","0","1997","774","1642","0","1997","100","0","0","true","1","true","false","0","0","0","Y:/CT data exceptions/BAE1014 BAEn_CaseStudy1_prj1_2 [2013-08-15 23.53.24]/BAEn_CaseStudy1_prj1_2.ctprofile.xml"
